"Year","Round","Region Number","Region Name","Home_Seed","Home_Score","Home_Team","Away_Team","Away_Score","Away_Seed","Home_Conference","Away_Conference"
"2016","2","4","Midwest","4","78","Iowa St","Arkansas Little Rock","61","12","B12","SB"
"2016","2","4","Midwest","1","77","Virginia","Butler","69","9","ACC","BE"
"2016","3","1","South","2","92","Villanova","Miami","69","3","BE","ACC"
"2016","3","1","South","1","79","Kansas","Maryland","63","5","B12","B10"
"2016","3","2","West","2","77","Oklahoma","Texas A&M","63","3","B12","SEC"
"2016","3","2","West","1","82","Oregon","Duke","68","4","P12","ACC"
"2016","3","3","East","7","56","Wisconsin","Notre Dame","61","6","B10","ACC"
"2016","3","3","East","1","101","North Carolina","Indiana","86","5","ACC","B10"
"2016","3","4","Midwest","10","63","Syracuse","Gonzaga","60","11","ACC","WCC"
"2016","3","4","Midwest","1","84","Virginia","Iowa St","71","4","ACC","B12"
"2016","4","1","South","1","59","Kansas","Villanova","64","2","B12","BE"
"2016","4","2","West","1","68","Oregon","Oklahoma","80","2","P12","B12"
"2016","4","3","East","1","88","North Carolina","Notre Dame","74","6","ACC","ACC"
"2016","4","4","Midwest","1","62","Virginia","Syracuse","68","10","ACC","ACC"
"2016","5","1","Final Four","2","95","Villanova","Oklahoma","51","2","BE","B12"
"2016","5","2","Final Four","1","83","North Carolina","Syracuse","66","10","ACC","ACC"
"2016","6","1","Championship","2","77","Villanova","North Carolina","74","1","BE","ACC"
"2017","1","1","East","2","87","Duke","Troy","65","15","ACC","SB"
"2017","1","1","East","3","91","Baylor","New Mexico St","73","14","B12","WAC"
"2017","1","1","East","4","80","Florida","East Tennessee St","65","13","SEC","SC"
"2017","1","1","East","5","76","Virginia","UNC Wilmington","71","12","ACC","CAA"
"2017","1","1","East","6","65","SMU","USC","66","11","Amer","P12"
"2017","1","1","East","7","93","South Carolina","Marquette","73","10","SEC","BE"
"2017","1","1","East","8","84","Wisconsin","Virginia Tech","74","9","B10","ACC"
"2017","1","1","East","1","76","Villanova","Mount St Marys","56","16","BE","NEC"
"2017","1","2","West","2","100","Arizona","North Dakota","82","15","P12","BSky"
"2017","1","2","West","3","86","Florida St","Florida Gulf Coast","80","14","ACC","ASun"
